what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1478523971696
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1478523971696
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1478523971712
os,sysinfo,,,"win32",1478523971728
arch,sysinfo,,,"x86_64",1478523971728
ws,sysinfo,,,"win32",1478523971728
locale,sysinfo,,,"zh_CN",1478523971728
processors,sysinfo,,,"4",1478523971728
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1478523971728
java.runtime.version,sysinfo,,,"1.8.0_111-b14",1478523971728
java.specification.name,sysinfo,,,"Java Platform API Specification",1478523971728
java.specification.vendor,sysinfo,,,"Oracle Corporation",1478523971728
java.specification.version,sysinfo,,,"1.8",1478523971728
java.vendor,sysinfo,,,"Oracle Corporation",1478523971728
java.version,sysinfo,,,"1.8.0_111",1478523971728
java.vm.info,sysinfo,,,"mixed mode",1478523971728
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1478523971728
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1478523971728
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1478523971728
java.vm.specification.version,sysinfo,,,"1.8",1478523971728
java.vm.vendor,sysinfo,,,"Oracle Corporation",1478523971728
java.vm.version,sysinfo,,,"25.111-b14",1478523971728
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1478523971868
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1478523971868
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1478523971915
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1478523971931
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1478523972414
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1478523972446
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1478523972461
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1478523972477
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1478523972649
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1478523972852
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1478523988277
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1478523988418
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1478523988464
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1478523990022
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1478523990109
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1478523990295
opened,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1478523990701
closed,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1478523990748
activated,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1478523991719
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1478523991798
closed,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1478523991829
opened,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.TypeHierarchy",1478523994418
activated,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.TypeHierarchy",1478523994497
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1478523995432
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478523998848
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478524004389
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478524007487
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478524038261
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1478524038276
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1478524038276
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478524040187
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478524042081
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478524042237
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1478524043101
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1478524043104
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1478524043105
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1478524043105
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1478524043105
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1478524043105
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1478524043105
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1478524043105
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1478524043105
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1478524043105
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1478524043152
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1478524043214
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1478524043214
